age,gender,smoker_status,mortality_rate
18,M,non_smoker,0.00028
18,M,smoker,0.000518
18,F,non_smoker,0.000218
18,F,smoker,0.000404
19,M,non_smoker,0.000306
19,M,smoker,0.000566
19,F,non_smoker,0.000238
19,F,smoker,0.000441
20,M,non_smoker,0.000334
20,M,smoker,0.000618
20,F,non_smoker,0.00026
20,F,smoker,0.000482
21,M,non_smoker,0.000365
21,M,smoker,0.000675
21,F,non_smoker,0.000284
21,F,smoker,0.000526
22,M,non_smoker,0.000398
22,M,smoker,0.000737
22,F,non_smoker,0.000311
22,F,smoker,0.000575
23,M,non_smoker,0.000435
23,M,smoker,0.000804
23,F,non_smoker,0.000339
23,F,smoker,0.000627
24,M,non_smoker,0.000475
24,M,smoker,0.000878
24,F,non_smoker,0.00037
24,F,smoker,0.000685
25,M,non_smoker,0.000518
25,M,smoker,0.000959
25,F,non_smoker,0.000404
25,F,smoker,0.000748
26,M,non_smoker,0.000566
26,M,smoker,0.001047
26,F,non_smoker,0.000442
26,F,smoker,0.000817
27,M,non_smoker,0.000618
27,M,smoker,0.001144
27,F,non_smoker,0.000482
27,F,smoker,0.000892
28,M,non_smoker,0.000675
28,M,smoker,0.001249
28,F,non_smoker,0.000527
28,F,smoker,0.000974
29,M,non_smoker,0.000737
29,M,smoker,0.001364
29,F,non_smoker,0.000575
29,F,smoker,0.001064
30,M,non_smoker,0.000805
30,M,smoker,0.001489
30,F,non_smoker,0.000628
30,F,smoker,0.001162
31,M,non_smoker,0.000879
31,M,smoker,0.001626
31,F,non_smoker,0.000686
31,F,smoker,0.001268
32,M,non_smoker,0.00096
32,M,smoker,0.001776
32,F,non_smoker,0.000749
32,F,smoker,0.001385
33,M,non_smoker,0.001048
33,M,smoker,0.001939
33,F,non_smoker,0.000818
33,F,smoker,0.001512
34,M,non_smoker,0.001145
34,M,smoker,0.002117
34,F,non_smoker,0.000893
34,F,smoker,0.001652
35,M,non_smoker,0.00125
35,M,smoker,0.002312
35,F,non_smoker,0.000975
35,F,smoker,0.001804
36,M,non_smoker,0.001365
