account_id,construction,occupancy,protection_class,tiv_usd,annual_premium_usd,five_year_incurred_usd
MR-COMP-0000,frame,light_manufacturing,6,12437206.0,21739.0,99124.0
MR-COMP-0001,joisted_masonry,light_manufacturing,6,40416495.0,96132.0,47892.0
MR-COMP-0002,joisted_masonry,office,1,33440509.0,92395.0,92478.0
MR-COMP-0003,joisted_masonry,office,6,21208738.0,23592.0,57253.0
MR-COMP-0004,fire_resistive,light_manufacturing,5,106287179.0,129802.0,382000.0
MR-COMP-0005,joisted_masonry,warehouse_distribution,3,24721848.0,35909.0,27762.0
MR-COMP-0006,non_combustible,retail,6,85102403.0,208395.0,531831.0
MR-COMP-0007,frame,light_manufacturing,1,49980389.0,74686.0,202945.0
MR-COMP-0008,fire_resistive,office,1,75851086.0,89031.0,30213.0
MR-COMP-0009,non_combustible,light_manufacturing,1,34597033.0,50766.0,224578.0
MR-COMP-0010,fire_resistive,light_manufacturing,4,113637257.0,303600.0,499743.0
MR-COMP-0011,joisted_masonry,light_manufacturing,3,112938610.0,350380.0,740534.0
MR-COMP-0012,fire_resistive,retail,4,59618247.0,163771.0,262491.0
MR-COMP-0013,non_combustible,light_manufacturing,2,103279820.0,284584.0,342400.0
MR-COMP-0014,joisted_masonry,retail,4,78733153.0,165266.0,300203.0
MR-COMP-0015,non_combustible,retail,2,80363046.0,161909.0,242429.0
MR-COMP-0016,fire_resistive,warehouse_distribution,6,65707682.0,126133.0,3957.0
MR-COMP-0017,frame,light_manufacturing,6,84305055.0,267315.0,665928.0
MR-COMP-0018,frame,warehouse_distribution,6,94840755.0,204271.0,86584.0
MR-COMP-0019,fire_resistive,light_manufacturing,1,93929037.0,107382.0,296474.0
MR-COMP-0020,non_combustible,retail,4,112288192.0,275218.0,621621.0
MR-COMP-0021,joisted_masonry,office,2,36540235.0,92324.0,26457.0
MR-COMP-0022,frame,retail,6,54019043.0,148226.0,330569.0
MR-COMP-0023,joisted_masonry,office,5,44834539.0,129869.0,196526.0
MR-COMP-0024,non_combustible,office,1,45147442.0,119629.0,315003.0
MR-COMP-0025,frame,light_manufacturing,5,10657136.0,30535.0,75833.0
MR-COMP-0026,joisted_masonry,office,3,84065144.0,266860.0,461114.0
MR-COMP-0027,non_combustible,office,3,98599513.0,235498.0,40190.0
MR-COMP-0028,non_combustible,light_manufacturing,1,37357927.0,80921.0,184645.0
MR-COMP-0029,fire_resistive,warehouse_distribution,6,57961437.0,185025.0,455905.0
MR-COMP-0030,joisted_masonry,light_manufacturing,6,34571016.0,90461.0,107452.0
MR-COMP-0031,frame,retail,1,25592353.0,33155.0,151801.0
MR-COMP-0032,frame,retail,4,102896010.0,176173.0,100852.0
MR-COMP-0033,non_combustible,office,1,108485846.0,193508.0,93961.0
MR-COMP-0034,frame,warehouse_distribution,5,29097156.0,44677.0,7473.0
MR-COMP-0035,non_combustible,office,1,56579949.0,96416.0,155791.0
MR-COMP-0036,frame,warehouse_distribution,3,91281290.0,214344.0,428952.0
MR-COMP-0037,joisted_masonry,warehouse_distribution,5,105232295.0,208226.0,139658.0
MR-COMP-0038,fire_resistive,light_manufacturing,3,65204870.0,205148.0,160516.0
MR-COMP-0039,non_combustible,office,4,52853139.0,60999.0,143944.0
MR-COMP-0040,frame,warehouse_distribution,5,23295568.0,53526.0,181373.0
MR-COMP-0041,fire_resistive,light_manufacturing,2,10925075.0,16738.0,62956.0
MR-COMP-0042,joisted_masonry,office,2,31069581.0,62247.0,47809.0
MR-COMP-0043,non_combustible,retail,2,29422034.0,59126.0,223478.0
MR-COMP-0044,non_combustible,light_manufacturing,4,70650072.0,211724.0,181214.0
MR-COMP-0045,fire_resistive,light_manufacturing,2,56079429.0,173268.0,244067.0
MR-COMP-0046,joisted_masonry,retail,2,94625685.0,213133.0,225395.0
MR-COMP-0047,fire_resistive,office,4,103929716.0,321379.0,776374.0
MR-COMP-0048,fire_resistive,warehouse_distribution,3,76597718.0,101701.0,517796.0
MR-COMP-0049,joisted_masonry,office,4,68984407.0,152039.0,125420.0
MR-COMP-0050,frame,office,4,26664546.0,33130.0,68973.0
MR-COMP-0051,frame,warehouse_distribution,3,94648848.0,147697.0,167076.0
MR-COMP-0052,joisted_masonry,office,4,95572409.0,237342.0,652150.0
MR-COMP-0053,fire_resistive,light_manufacturing,6,37095317.0,108366.0,230425.0
MR-COMP-0054,frame,office,2,60604349.0,114788.0,349329.0
MR-COMP-0055,fire_resistive,warehouse_distribution,1,84038949.0,119804.0,570516.0
MR-COMP-0056,frame,retail,1,51792092.0,139639.0,233009.0
MR-COMP-0057,frame,office,2,49924750.0,98518.0,3590.0
MR-COMP-0058,joisted_masonry,light_manufacturing,2,82498778.0,177353.0,306129.0
MR-COMP-0059,joisted_masonry,light_manufacturing,5,75417097.0,108739.0,474040.0
