accident_year,dev_period_months,paid_loss_usd,reported_loss_usd,case_reserve_usd,claim_count
2018,12,4189950.0,5880659.0,1690708.0,1165
2018,24,6494423.0,8662820.0,2168397.0,1184
2018,36,8312862.0,10586002.0,2273140.0,1197
2018,48,,10900864.0,1590459.0,1222
2018,60,9775925.0,10753186.0,977260.0,1221
2018,72,9971444.0,10171963.0,200519.0,1250
2019,12,4616991.0,6635267.0,2018276.0,1170
2019,24,7156336.0,9382513.0,2226177.0,1190
2019,36,9160110.0,11779741.0,,1192
2019,48,10259323.0,12175888.0,1916565.0,1167
2019,60,10772290.0,11842739.0,1070450.0,1246
2020,12,4844273.0,6891729.0,2047457.0,1231
2020,24,7508623.0,10306228.0,-48500.0,1251
2020,36,9611037.0,12034663.0,2423626.0,1259
2020,48,10764362.0,12688725.0,1924364.0,1288
2021,12,5099713.0,4979713.0,2094889.0,1276
2021,24,7904555.0,10749948.0,2845393.0,1289
2021,36,10117830.0,12709957.0,2592127.0,1302
2022,12,5331116.0,7528527.0,2197411.0,1325
2022,24,8263230.0,10814528.0,2551298.0,1336
2023,12,5738317.0,8032185.0,2293868.0,1370
